neighbourhood_group,neighbourhood
Aricanduva-Formosa-Carrao,Aricanduva
Aricanduva-Formosa-Carrao,Carrao
Aricanduva-Formosa-Carrao,Vila Formosa
Butanta,Butanta
Butanta,Morumbi
Butanta,Raposo Tavares
Butanta,Rio Pequeno
Butanta,Vila Sonia
Campo Limpo,Campo Limpo
Campo Limpo,Capao Redondo
Campo Limpo,Vila Andrade
Capela Do Socorro,Cidade Dutra
Capela Do Socorro,Grajau
Capela Do Socorro,Socorro
Casa Verde-Limao-Cachoeirinha,Cachoeirinha
Casa Verde-Limao-Cachoeirinha,Casa Verde
Casa Verde-Limao-Cachoeirinha,Limao
Cidade Ademar,Cidade Ademar
Cidade Ademar,Pedreira
Cidade Tiradentes,Cidade Tiradentes
Ermelino Matarazzo,Ermelino Matarazzo
Ermelino Matarazzo,Ponte Rasa
Freguesia-Brasilandia,Brasilandia
Freguesia-Brasilandia,Freguesia Do O
Guaianases,Guaianases
Guaianases,Lajeado
Ipiranga,Cursino
Ipiranga,Ipiranga
Ipiranga,Sacoma
Itaim Paulista,Itaim Paulista
Itaim Paulista,Vila Curuca
Itaquera,Cidade Lider
Itaquera,Itaquera
Itaquera,Jose Bonifacio
Itaquera,Parque Do Carmo
Jabaquara,Jabaquara
Jacana-Tremembe,Jacana
Jacana-Tremembe,Tremembe
Lapa,Barra Funda
Lapa,Jaguara
Lapa,Jaguare
Lapa,Lapa
Lapa,Perdizes
Lapa,Vila Leopoldina
M Boi Mirim,Jardim Angela
M Boi Mirim,Jardim Sao Luis
Mooca,Agua Rasa
Mooca,Belem
Mooca,Bras
Mooca,Mooca
Mooca,Pari
Mooca,Tatuape
Parelheiros,Marsilac
Parelheiros,Parelheiros
Penha,Artur Alvim
Penha,Cangaiba
Penha,Penha
Penha,Vila Matilde
Perus-Anhanguera,Anhanguera
Perus-Anhanguera,Perus
Pinheiros,Alto De Pinheiros
Pinheiros,Itaim Bibi
Pinheiros,Jardim Paulista
Pinheiros,Pinheiros
Pirituba-Jaragua,Jaragua
Pirituba-Jaragua,Pirituba
Pirituba-Jaragua,Sao Domingos
Santana-Tucuruvi,Mandaqui
Santana-Tucuruvi,Santana
Santana-Tucuruvi,Tucuruvi
Santo Amaro,Campo Belo
Santo Amaro,Campo Grande
Santo Amaro,Santo Amaro
Sao Mateus,Iguatemi
Sao Mateus,Sao Mateus
Sao Mateus,Sao Rafael
Sao Miguel,Jardim Helena
Sao Miguel,Sao Miguel
Sao Miguel,Vila Jacui
Sapopemba,Sapopemba
Se,Bela Vista
Se,Bom Retiro
Se,Cambuci
Se,Consolacao
Se,Liberdade
Se,Republica
Se,Santa Cecilia
Se,Se
Vila Mariana,Moema
Vila Mariana,Saude
Vila Mariana,Vila Mariana
Vila Maria-Vila Guilherme,Vila Guilherme
Vila Maria-Vila Guilherme,Vila Maria
Vila Maria-Vila Guilherme,Vila Medeiros
Vila Prudente,Sao Lucas
Vila Prudente,Vila Prudente
